74개 기초자치단체 / 인구 10만 명당 진단 수 / 201101~202006 월단위,,,,,,,,
,,,,,,,,
,,,,,,,,
연월,시군구코드,시도,시군구,"폐암
(C34)","만성폐쇄성폐질환
(J44)","하기도감염
(J20-22)","허혈성심질환
(I20-22)","뇌졸중
(I60-64)"
201103,11740,서울특별시,강동구,120,170.7,12133.8,597.8,679.4
201103,26110,부산광역시,중구,82.2,215.7,14375.8,920.2,936.6
201103,26140,부산광역시,서구,128.5,279.7,13263.2,779.2,910.1
201103,26170,부산광역시,동구,131.4,207.1,11648.1,775.7,939.1
201103,26200,부산광역시,영도구,111,238.1,13918.5,756.3,785.6
201103,26230,부산광역시,부산진구,103.5,167.3,17246.4,777.9,769
201103,26260,부산광역시,동래구,113.1,185.7,16542.1,858.9,834.6
201103,26290,부산광역시,남구,91.1,174.8,16095.4,900.6,844.4
201103,26320,부산광역시,북구,77.9,162,15126.9,704.2,681.2
201103,26350,부산광역시,해운대구,99.9,254.5,14186,845.8,779.1
201103,26380,부산광역시,사하구,90.9,170.2,15307.1,713.2,815.3
201103,26410,부산광역시,금정구,84.4,209.2,12497.6,871.5,791.8
201103,26440,부산광역시,강서구,68,271.9,19163.3,1183.3,795.6
201103,26470,부산광역시,연제구,116.7,181.4,12909.4,1047.2,903.3
201103,26500,부산광역시,수영구,111.5,173.2,12104.2,1076.5,786.1
201103,26530,부산광역시,사상구,98.3,179.6,17260.1,598.6,736.6
201103,26710,부산광역시,기장군,92.5,235,20287.7,807.6,712.3
201103,27110,대구광역시,중구,126.6,365.5,13338.1,879.9,984.3
201103,27140,대구광역시,동구,108.1,311.5,14532.9,629.5,859
201103,27170,대구광역시,서구,80,245.3,14977.2,591.1,893.9
201103,27200,대구광역시,남구,72.7,279.1,11378.2,720.3,948.6
201103,27230,대구광역시,북구,94,283.9,18472.6,577.8,830.6
201103,27260,대구광역시,수성구,96.9,285.2,13917.7,692.7,851.5
201103,27290,대구광역시,달서구,88,284.2,17412.8,561,847.1
201103,27710,대구광역시,달성군,89.8,377.6,20577.1,497.9,834.5
201103,28110,인천광역시,중구,127.2,416.8,19252.8,570.6,849.5
201103,28140,인천광역시,동구,96.6,789.2,19957.6,433.3,836.2
201103,28170,인천광역시,남구,80.4,226.6,17356.6,566.3,701.7
201103,28185,인천광역시,연수구,98.6,184.8,13216.6,508.9,613.7
201103,28200,인천광역시,남동구,92.8,245.8,18484.9,598.8,626.3
201103,28237,인천광역시,부평구,100.5,211.1,17899.4,522,629.1
201103,28245,인천광역시,계양구,84.8,200.1,14671.6,444.7,605.3
201103,28260,인천광역시,서구,93.3,167.6,20850.2,429.5,543.4
201103,28710,인천광역시,강화군,136.3,368.4,10009.1,676.9,608
201103,28720,인천광역시,옹진군,82.1,343.9,10587.6,718.5,754.4
201103,29110,광주광역시,동구,126.8,483.6,9306.5,1001.9,632
201103,29140,광주광역시,서구,108.5,282.1,13433.2,735.1,518.7
201103,29155,광주광역시,남구,78.1,416.8,11722,809.9,600.3
201103,29170,광주광역시,북구,99.4,338.4,15648.3,883,538.4
201103,29200,광주광역시,광산구,94.5,304.9,18060,614.1,598.7
201103,30110,대전광역시,동구,89.9,228.4,20041,629.2,672.5
201103,30140,대전광역시,중구,97.2,234.6,17801.4,635.8,731.1
201103,30170,대전광역시,서구,109.6,221.4,19064.4,536.5,690
201103,30200,대전광역시,유성구,100.9,240.2,21714.7,571.1,685.6
201103,30230,대전광역시,대덕구,99.3,219.6,22783.3,556.2,588.8
201103,31110,울산광역시,중구,113.1,237.3,13386.3,575.2,716.1
201103,31140,울산광역시,남구,111.5,221.2,14402.2,567.4,754.3
