sido_code,sigungu_code,sido,yyyymm,pm10,sigungu,precipitation,male_avg_age,female_avg_age,year,month,ISO,disease_type,value
26,26500,부산,201102,40.0,수영구,70.9,39.8,42.3,2011,2,KR-26,폐암,94.5
26,26530,부산,201102,70.0,사상구,70.9,37.6,39.7,2011,2,KR-26,폐암,83.3
26,26710,부산,201102,43.5,기장군,70.9,37.9,40.8,2011,2,KR-26,폐암,74.9
27,27110,대구,201102,66.0,중구,64.4,41.0,44.5,2011,2,KR-27,폐암,100.5
27,27140,대구,201102,50.0,동구,64.4,38.3,41.4,2011,2,KR-27,폐암,87.6
27,27170,대구,201102,76.0,서구,64.4,39.0,42.1,2011,2,KR-27,폐암,68.3
27,27200,대구,201102,57.0,남구,64.4,39.9,43.1,2011,2,KR-27,폐암,63.3
27,27230,대구,201102,67.5,북구,64.4,35.4,37.8,2011,2,KR-27,폐암,82.3
27,27260,대구,201102,68.0,수성구,64.4,35.9,39.0,2011,2,KR-27,폐암,83.9
27,27290,대구,201102,63.0,달서구,64.4,35.2,37.7,2011,2,KR-27,폐암,82.1
27,27710,대구,201102,52.0,달성군,64.4,36.0,38.5,2011,2,KR-27,폐암,78.2
28,28110,인천,201102,82.5,중구,32.5,38.6,40.8,2011,2,KR-28,폐암,121.8
28,28140,인천,201102,79.0,동구,32.5,38.7,41.3,2011,2,KR-28,폐암,80.1
28,28170,인천,201102,83.0,남구,32.5,37.8,39.8,2011,2,KR-28,폐암,77.3
28,28185,인천,201102,81.0,연수구,32.5,34.9,36.6,2011,2,KR-28,폐암,79.9
28,28200,인천,201102,79.66666667,남동구,32.5,35.5,37.2,2011,2,KR-28,폐암,76.3
28,28237,인천,201102,84.0,부평구,32.5,36.1,37.9,2011,2,KR-28,폐암,78.1
28,28245,인천,201102,61.0,계양구,32.5,34.8,36.2,2011,2,KR-28,폐암,70.9
28,28260,인천,201102,83.66666667,서구,32.5,34.7,36.0,2011,2,KR-28,폐암,67.6
28,28710,인천,201102,69.0,강화군,32.5,45.0,48.7,2011,2,KR-28,폐암,112.3
29,29110,광주,201102,62.0,동구,59.8,40.3,43.0,2011,2,KR-29,폐암,101.4
29,29140,광주,201102,47.0,서구,59.8,34.7,37.1,2011,2,KR-29,폐암,77.4
29,29155,광주,201102,54.0,남구,59.8,36.8,39.3,2011,2,KR-29,폐암,74.4
29,29170,광주,201102,60.5,북구,59.8,35.2,37.5,2011,2,KR-29,폐암,81.4
29,29200,광주,201102,82.0,광산구,59.8,32.2,34.0,2011,2,KR-29,폐암,77.2
30,30110,대전,201102,47.0,동구,44.8,37.6,40.0,2011,2,KR-30,폐암,85.6
30,30140,대전,201102,61.0,중구,44.8,37.6,39.8,2011,2,KR-30,폐암,90.4
30,30170,대전,201102,61.5,서구,44.8,34.8,36.7,2011,2,KR-30,폐암,86.0
30,30200,대전,201102,68.0,유성구,44.8,33.0,34.8,2011,2,KR-30,폐암,87.6
30,30230,대전,201102,70.5,대덕구,44.8,35.7,37.6,2011,2,KR-30,폐암,91.6
31,31110,울산,201102,63.0,중구,76.1,36.3,38.5,2011,2,KR-31,폐암,92.4
